Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,Demand_MW_GWN,Demand_MW_GGI,Demand_MW_GNA,Demand_MW_GNB,Demand_MW_KWJ,Demand_MW_TAE,Demand_MW_DJJ,Demand_MW_PUS,Demand_MW_SEL,Demand_MW_SJG,Demand_MW_USN,Demand_MW_INC,Demand_MW_JNA,Demand_MW_JNB,Demand_MW_JEJ,Demand_MW_CNA,Demand_MW_CNB,Demand_MW_25_GWN,Demand_MW_25_GGI,Demand_MW_25_GNA,Demand_MW_25_GNB,Demand_MW_25_KWJ,Demand_MW_25_TAE,Demand_MW_25_DJJ,Demand_MW_25_PUS,Demand_MW_25_SEL,Demand_MW_25_SJG,Demand_MW_25_USN,Demand_MW_25_INC,Demand_MW_25_JNA,Demand_MW_25_JNB,Demand_MW_25_JEJ,Demand_MW_25_CNA,Demand_MW_25_CNB,Demand_MW_30_GWN,Demand_MW_30_GGI,Demand_MW_30_GNA,Demand_MW_30_GNB,Demand_MW_30_KWJ,Demand_MW_30_TAE,Demand_MW_30_DJJ,Demand_MW_30_PUS,Demand_MW_30_SEL,Demand_MW_30_SJG,Demand_MW_30_USN,Demand_MW_30_INC,Demand_MW_30_JNA,Demand_MW_30_JNB,Demand_MW_30_JEJ,Demand_MW_30_CNA,Demand_MW_30_CNB,Demand_MW_35_GWN,Demand_MW_35_GGI,Demand_MW_35_GNA,Demand_MW_35_GNB,Demand_MW_35_KWJ,Demand_MW_35_TAE,Demand_MW_35_DJJ,Demand_MW_35_PUS,Demand_MW_35_SEL,Demand_MW_35_SJG,Demand_MW_35_USN,Demand_MW_35_INC,Demand_MW_35_JNA,Demand_MW_35_JNB,Demand_MW_35_JEJ,Demand_MW_35_CNA,Demand_MW_35_CNB,Demand_heat_SEL,Demand_heat_25_SEL,Demand_heat_30_SEL,Demand_heat_35_SEL,Demand_heat_PUS,Demand_heat_25_PUS,Demand_heat_30_PUS,Demand_heat_35_PUS,Demand_heat_TAE,Demand_heat_25_TAE,Demand_heat_30_TAE,Demand_heat_35_TAE,Demand_heat_INC,Demand_heat_25_INC,Demand_heat_30_INC,Demand_heat_35_INC,Demand_heat_KWJ,Demand_heat_25_KWJ,Demand_heat_30_KWJ,Demand_heat_35_KWJ,Demand_heat_USN,Demand_heat_25_USN,Demand_heat_30_USN,Demand_heat_35_USN,Demand_heat_SJG,Demand_heat_25_SJG,Demand_heat_30_SJG,Demand_heat_35_SJG,Demand_heat_GGI,Demand_heat_25_GGI,Demand_heat_30_GGI,Demand_heat_35_GGI,Demand_heat_GWN,Demand_heat_25_GWN,Demand_heat_30_GWN,Demand_heat_35_GWN,Demand_heat_CNA,Demand_heat_25_CNA,Demand_heat_30_CNA,Demand_heat_35_CNA,Demand_heat_CNB,Demand_heat_25_CNB,Demand_heat_30_CNB,Demand_heat_35_CNB,Demand_heat_DJJ,Demand_heat_25_DJJ,Demand_heat_30_DJJ,Demand_heat_35_DJJ,Demand_heat_JNB,Demand_heat_25_JNB,Demand_heat_30_JNB,Demand_heat_35_JNB,Demand_heat_JNA,Demand_heat_25_JNA,Demand_heat_30_JNA,Demand_heat_35_JNA,Demand_heat_GNB,Demand_heat_25_GNB,Demand_heat_30_GNB,Demand_heat_35_GNB,Demand_heat_GNA,Demand_heat_25_GNA,Demand_heat_30_GNA,Demand_heat_35_GNA,Demand_heat_JEJ,Demand_heat_25_JEJ,Demand_heat_30_JEJ,Demand_heat_35_JEJ
1,59450.77,63030.83,66213.68,68647.81,8700,0,2033.508214,16211.44187,4253.873472,4965.803914,1025.277763,1866.139424,1132.147304,2357.885112,5688.800446,458.6083273,3367.171504,3025.591682,3703.252334,2474.521837,692.5243142,5638.779616,3384.511533,2155.963904,17187.67756,4510.037183,5264.839315,1087.018894,1978.516344,1200.324003,2499.874432,6031.373925,486.2252303,3569.938971,3207.789577,3926.258229,2623.534896,734.2273878,5978.340894,3588.323198,2264.833173,18055.60021,4737.77961,5530.696833,1141.909865,2078.42508,1260.93652,2626.110081,6335.938984,510.7780466,3750.209451,3369.772673,4124.52169,2756.015002,771.3035185,6280.227955,3769.522023,2348.092206,18719.35409,4911.948267,5734.014444,1183.888371,2154.831442,1307.290643,2722.650254,6568.858636,529.5550968,3888.073385,3493.651119,4276.145966,2857.330696,799.6579183,6511.099577,3908.09592,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
2,57274.78,60723.81,63790.16,66135.2,8700,0,1959.954723,15625.06206,4100.007733,4786.187127,988.1927112,1798.639786,1091.196701,2272.59867,5483.032342,442.0201261,3245.378429,2916.153801,3569.302968,2385.016559,667.4751994,5434.820802,3262.091257,2077.9811,16565.98659,4346.905814,5074.406197,1047.700619,1906.95195,1156.9074,2409.452131,5813.214685,468.6381054,3440.811647,3091.761464,3784.242576,2528.639705,707.6698421,5762.099898,3458.530904,2182.912488,17402.51584,4566.410631,5330.647453,1100.606144,2003.246914,1215.327517,2531.121744,6106.763402,492.3028282,3614.561611,3247.885512,3975.334701,2656.327909,743.4049018,6053.067482,3633.175634,2263.159981,18042.26125,4734.279478,5526.610916,1141.066256,2076.889601,1260.004977,2624.169988,6331.258178,510.4006987,3747.438906,3367.283184,4121.474615,2753.978939,770.733702,6275.588307,3766.737211,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
3,55919.7,59287.13,62280.94,64570.49,8700,0,1907.098915,15203.6874,3989.43925,4657.113846,961.543257,1750.134299,1061.769449,2211.311521,5335.166629,430.099784,3157.857479,2837.51134,3473.046464,2320.697738,649.4748138,5288.255252,3174.119598,2021.942372,16119.2372,4229.679015,4937.560262,1019.446364,1855.525515,1125.708069,2344.474336,5656.444657,455.9999331,3348.02028,3008.383238,3682.189608,2460.447674,688.5854926,5606.708327,3365.261686,2124.043984,16933.20703,4443.264254,5186.891235,1070.925139,1949.223608,1182.55272,2462.862778,5942.076989,479.0264687,3517.084577,3160.296953,3868.128385,2584.692399,723.3568537,5889.829134,3535.196618,2202.127372,17555.69987,4606.606035,5377.569981,1110.294127,2020.880309,1226.025324,2553.401709,6160.517619,496.6362781,3646.378454,3276.474724,4010.327216,2679.709989,749.9486544,6106.349046,3665.156324,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
4,55237.85,58564.21,61521.52,63783.15,8700,0,1875.28523,14950.06378,3922.888551,4579.425189,945.503064,1720.939053,1044.057311,2174.423047,5246.166886,422.9249809,3105.178994,2790.176777,3415.110084,2281.984514,638.6404584,5200.038072,3121.169832,1988.212901,15850.34063,4159.120705,4855.193277,1002.440247,1824.572162,1106.929325,2305.364478,5562.085445,448.393071,3292.169552,2958.198238,3620.764361,2419.403181,677.0987038,5513.178804,3309.123341,2088.611283,16650.73205,4369.142975,5100.364981,1053.060268,1916.70721,1162.82571,2421.777998,5842.95294,471.0354845,3458.413566,3107.577771,3803.60136,2541.57529,711.290019,5791.576669,3476.223467,2165.392106,17262.84065,4529.759935,5287.862878,1091.772514,1987.168554,1205.573116,2510.806583,6057.749605,488.3515321,3585.550599,3221.817497,3943.428071,2635.007824,737.4382228,6004.484657,3604.015222,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5,55160.17,58481.86,61435,63693.46,8700,0,1867.425746,14887.40676,3906.447385,4560.232421,941.5403785,1713.726448,1039.681576,2165.309851,5224.179746,421.1524657,3092.164918,2778.482904,3400.797061,2272.420519,635.9638609,5178.244261,3108.088738,1979.880128,15783.91048,4141.689468,4834.84474,998.2389331,1816.925221,1102.290088,2295.702494,5538.774262,446.5138167,3278.371782,2945.800173,3605.589422,2409.263252,674.2609244,5490.072592,3295.254518,2079.857731,16580.94739,4350.831517,5078.988909,1048.646801,1908.674124,1157.952206,2411.628115,5818.464617,469.0613339,3443.919054,3094.553643,3787.660136,2530.923327,708.3089408,5767.303668,3461.654313,2156.316759,17190.49058,4510.775318,5265.700986,1087.196801,1978.840158,1200.520455,2500.283574,6032.361051,486.3048084,3570.523245,3208.314581,3926.900821,2623.964277,734.3475552,5979.31934,3588.910482,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
6,55692.42,59046.16,62027.8,64308.04,8700,0,1876.756926,14961.79637,3925.967177,4583.019054,946.2450807,1722.289621,1044.876672,2176.129502,5250.284,423.2568862,3107.615891,2792.366466,3417.790211,2283.775382,639.141654,5204.118985,3123.61928,1989.773221,15862.77975,4162.384722,4859.00356,1003.226948,1826.00406,1107.798027,2307.173693,5566.450488,448.7449632,3294.753197,2960.519789,3623.605883,2421.301893,677.6300809,5517.505465,3311.720292,2090.250394,16663.7993,4372.571814,5104.367672,1053.886694,1918.211414,1163.738278,2423.678573,5847.538403,471.4051461,3461.127677,3110.016553,3806.58637,2543.569881,711.8482289,5796.121813,3478.951557,2167.091473,17276.38827,4533.314824,5292.012714,1092.629321,1988.728055,1206.519232,2512.777027,6062.503637,488.7347831,3588.364485,3224.345932,3946.522814,2637.075739,738.0169534,6009.196888,3606.8436,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
7,56463.46,59863.63,62886.55,65198.37,8700,0,1884.804286,15025.95116,3942.80136,4602.670615,950.3024919,1729.674638,1049.357005,2185.460543,5272.796731,425.0717725,3120.941061,2804.339874,3432.445379,2293.567999,641.8822341,5226.433764,3137.013069,1998.305184,15930.79786,4180.232641,4879.838516,1007.528692,1833.833795,1112.548162,2317.06664,5590.318911,450.66914,3308.880793,2973.214222,3639.143568,2431.684211,680.5356957,5541.164016,3325.920641,2099.213194,16735.25212,4391.320997,5126.254727,1058.405663,1926.436527,1168.72828,2434.071082,5872.612106,473.4264877,3475.968672,3123.352015,3822.908659,2554.476473,714.900568,5820.975046,3493.868978,2176.383761,17350.46781,4552.753257,5314.704374,1097.314414,1997.255536,1211.692674,2523.551582,6088.49909,490.8304325,3603.75106,3238.171628,3963.445138,2648.383275,741.1815015,6034.963766,3622.30941,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
8,56939.13,60367.94,63416.33,65747.62,8700,0,1878.19731,14973.27932,3928.980298,4586.536454,946.97131,1723.611452,1045.678599,2177.79965,5254.313517,423.5817297,3110.000942,2794.509567,3420.413315,2285.528147,639.6321858,5208.11307,3126.016611,1991.300343,15874.95419,4165.57929,4862.732774,1003.996909,1827.40549,1108.648246,2308.944415,5570.722657,449.0893684,3297.281872,2962.791944,3626.386947,2423.160207,678.150152,5521.740069,3314.261988,2091.85463,16676.58851,4375.927698,5108.285199,1054.695537,1919.683613,1164.63143,2425.538711,5852.026303,471.7669427,3463.784042,3112.403445,3809.507869,2545.522034,712.3945619,5800.570251,3481.6216,2168.754685,17289.64763,4536.794076,5296.074257,1093.467898,1990.254374,1207.445218,2514.705547,6067.15652,489.1098799,3591.118503,3226.820571,3949.551712,2639.099656,738.5833705,6013.808858,3609.611799,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
9,56997.63,60429.96,63481.48,65815.17,8700,0,1867.049994,14884.41121,3905.661353,4559.314839,941.3509276,1713.381622,1039.472378,2164.874161,5223.128568,421.0677239,3091.542732,2777.923834,3400.112773,2271.963277,635.8358961,5177.202326,3107.463348,1979.481748,15780.73453,4140.856103,4833.871902,998.0380737,1816.559631,1102.068293,2295.240567,5537.659785,446.4239719,3277.712129,2945.207437,3604.863928,2408.778476,674.1252537,5488.967914,3294.591467,2079.439234,16577.61106,4349.956069,5077.966946,1048.435799,1908.290072,1157.719211,2411.142862,5817.293861,468.9669522,3443.22609,3093.930976,3786.898006,2530.414071,708.1664191,5766.143207,3460.95778,2155.882878,17187.03161,4509.867687,5264.641454,1086.978042,1978.441988,1200.278894,2499.780483,6031.147256,486.2069571,3569.804806,3207.669023,3926.110674,2623.4363,734.1997942,5978.116219,3588.188343,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
10,54505.17,57787.41,60705.49,62937.12,8700,0,1813.129555,14454.54913,3792.86578,4427.64174,914.1646949,1663.899129,1009.452396,2102.352554,5072.284516,408.9072802,3002.25892,2697.697342,3301.917452,2206.348934,617.4729434,5027.684625,3017.719748,1922.314278,15324.98662,4021.268101,4694.26959,969.2147152,1764.097355,1070.240539,2228.953976,5377.732065,433.5312392,3183.051741,2860.149791,3500.755389,2339.212907,654.6565037,5330.446416,3199.443603,2019.38499,16098.84935,4224.329256,4931.315164,1018.156953,1853.178619,1124.284258,2341.509011,5649.290305,455.4231778,3343.785656,3004.578191,3677.53232,2457.335664,687.7145597,5599.616882,3361.005255,2093.62094,16690.66982,4379.622623,5112.598508,1055.586095,1921.304546,1165.614816,2427.586775,5856.967609,472.165291,3466.708776,3115.031481,3812.724523,2547.671409,712.9960903,5805.468108,3484.561396,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327,327,327,327,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
