time_index,BR_AC_Wind_Onshore_Class1,BR_AC_Wind_Onshore_Class3,BR_AL_Wind_Onshore_Class1,BR_AM_Wind_Onshore_Class3,BR_AP_Wind_Onshore_Class1,BR_AP_Wind_Onshore_Class3,BR_BA_Wind_Onshore_Class0,BR_BA_Wind_Onshore_Class1,BR_BA_Wind_Onshore_Class3,BR_CE_Wind_Onshore_Class0,BR_CE_Wind_Onshore_Class1,BR_CE_Wind_Onshore_Class3,BR_ES_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class0,BR_GO_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class2,BR_GO_Wind_Onshore_Class3,BR_MA_Wind_Onshore_Class0,BR_MA_Wind_Onshore_Class1,BR_MA_Wind_Onshore_Class3,BR_MG_Wind_Onshore_Class0,BR_MG_Wind_Onshore_Class1,BR_MG_Wind_Onshore_Class3,BR_MS_Wind_Onshore_Class0,BR_MS_Wind_Onshore_Class1,BR_MS_Wind_Onshore_Class2,BR_MS_Wind_Onshore_Class3,BR_MT_Wind_Onshore_Class0,BR_MT_Wind_Onshore_Class1,BR_MT_Wind_Onshore_Class2,BR_MT_Wind_Onshore_Class3,BR_PA_Wind_Onshore_Class0,BR_PA_Wind_Onshore_Class1,BR_PA_Wind_Onshore_Class2,BR_PA_Wind_Onshore_Class3,BR_PB_Wind_Onshore_Class0,BR_PB_Wind_Onshore_Class1,BR_PB_Wind_Onshore_Class3,BR_PE_Wind_Onshore_Class0,BR_PE_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class0,BR_PI_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class3,BR_PR_Wind_Onshore_Class0,BR_PR_Wind_Onshore_Class1,BR_PR_Wind_Onshore_Class3,BR_RJ_Wind_Onshore_Class0,BR_RJ_Wind_Onshore_Class1,BR_RN_Wind_Onshore_Class0,BR_RN_Wind_Onshore_Class1,BR_RO_Wind_Onshore_Class0,BR_RO_Wind_Onshore_Class2,BR_RO_Wind_Onshore_Class3,BR_RR_Wind_Onshore_Class2,BR_RS_Wind_Onshore_Class0,BR_RS_Wind_Onshore_Class1,BR_SC_Wind_Onshore_Class1,BR_SE_Wind_Onshore_Class1,BR_SP_Wind_Onshore_Class0,BR_SP_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class0,BR_TO_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class2,BR_TO_Wind_Onshore_Class3
1,0.050008696,0.033417391,0.296786957,0,0.083973913,0.164492754,0.348878156,0.267884848,0.144136715,0.144836071,0.256636232,0.132784541,0.209655072,0.017642512,0.023757468,0.009758454,0.028611957,0.048959058,0.065187185,0.045603581,0.193586395,0.139811981,0.106844546,0.157548861,0.1385661,0.067713768,0.064475362,0.038086288,0.020214141,0.012586994,0.007437295,0.048907246,0.180595445,0.005973213,0.055416264,0.383366667,0.513449275,0.029275362,0.75009648,0.34368913,0.128024823,0.044645708,0.032452754,0.156755731,0.113059627,0.051889855,0.358771014,0.000811594,0.012057971,0.678056039,0.013189565,0.011835749,0.004562719,0.124319669,0.270197453,0.233552077,0.126272464,0.200614493,0.030663114,0.029575789,0.02350303,0.014438261,0.007668116,0.021017971
2,0.070956522,0.060021739,0.245788406,0,0.136362319,0.1408,0.363927641,0.229319104,0.122897101,0.164016103,0.288027536,0.165781643,0.157115942,0.022220934,0.029303283,0.016875362,0.024709783,0.066878261,0.063285431,0.041790963,0.212170482,0.132772947,0.122696873,0.167601242,0.158065532,0.084460145,0.075901449,0.044992865,0.022388933,0.011033222,0.008865855,0.086266667,0.164437267,0.007501049,0.054618841,0.577828986,0.483926087,0.155188406,0.738934576,0.284744203,0.133101598,0.047016722,0.044546667,0.182215283,0.144953623,0.029275362,0.303536232,0,0.036973913,0.641097585,0.012004638,0.007972947,0.007637381,0.196677433,0.371556785,0.274656618,0.125504348,0.182501449,0.051179804,0.032043308,0.020398419,0.018648502,0.019321325,0.019584928
3,0.090156522,0.09746087,0.196768116,0,0.159568116,0.17057971,0.344948769,0.18778419,0.094345411,0.178232528,0.260437198,0.106216425,0.101515942,0.026666989,0.036179828,0.018626087,0.024991304,0.079097101,0.058120824,0.043947144,0.20795942,0.123611594,0.125493822,0.17082236,0.163463138,0.112215217,0.075156522,0.046499889,0.024389284,0.014959049,0.008178628,0.067778261,0.139014493,0.008405597,0.051233494,0.5856,0.416118357,0.417542029,0.640963147,0.224391304,0.152450242,0.048086511,0.051617391,0.185394203,0.129525466,0,0.293797101,0,0.222144928,0.586073913,0.005593043,0.035400966,0.007808696,0.233618219,0.342443742,0.3094543,0.131330435,0.149085024,0.074569799,0.044207673,0.023612648,0.035170628,0.033695445,0.020909565
4,0.082663768,0.092726087,0.172589855,0,0.106866667,0.219744928,0.315130016,0.148199209,0.08006087,0.204659581,0.226077053,0.094848309,0.091721739,0.029161997,0.034280035,0.023855072,0.021267391,0.077383333,0.055290923,0.046514237,0.197569595,0.128433237,0.142176964,0.172197516,0.150349212,0.12397971,0.075086957,0.04523835,0.026053052,0.016265923,0.009777623,0.04127971,0.093624845,0.01191904,0.049538325,0.478875362,0.365431884,0.396892754,0.520446377,0.186097826,0.175125827,0.06161427,0.055524638,0.178773913,0.165847619,0,0.28684058,0,0.161449275,0.548091304,0.006515942,0.048332367,0.00694033,0.209831884,0.365571893,0.434764831,0.19982029,0.130908213,0.078045255,0.043055754,0.022523847,0.05243285,0.044099793,0.023348406
5,0.078130435,0.068542029,0.169223188,0,0.058617391,0.17057971,0.286491287,0.11015942,0.075844928,0.202806441,0.212145652,0.073818357,0.068255072,0.022542673,0.030447205,0.02564058,0.019408696,0.070457971,0.064368268,0.048350725,0.18112381,0.145466087,0.163872159,0.170959213,0.13750397,0.128034058,0.072144928,0.041824303,0.023236539,0.016114158,0.009480348,0.035194203,0.069907246,0.023005697,0.049031401,0.332066667,0.309147343,0.223344928,0.42149648,0.147072464,0.195854329,0.060947157,0.044581449,0.152659289,0.201912629,0,0.267744928,0,0.152649275,0.485166184,0.008282899,0.053484058,0.006851974,0.17639089,0.396060782,0.587981063,0.212736232,0.11754686,0.069076578,0.035491901,0.021204216,0.061288502,0.048529607,0.031315942
6,0.078747826,0.062702899,0.118624638,0,0.018246377,0.065385507,0.25893948,0.089666667,0.094084058,0.16050628,0.196151691,0.050477295,0.044765217,0.015979388,0.024993552,0.028110145,0.015521014,0.065869565,0.059483753,0.04252532,0.172355043,0.153329855,0.151916095,0.160064182,0.133269565,0.114878261,0.057852174,0.048467113,0.020706895,0.02067068,0.009411865,0.019698551,0.047387164,0.0281999,0.045805636,0.257323188,0.276694686,0.165507246,0.364879917,0.115271739,0.200592791,0.042156076,0.041612174,0.132226877,0.195894824,0.001826087,0.220944928,0,0.216144928,0.426752657,0.007102609,0.054121739,0.006258271,0.172120083,0.424654018,0.6563343,0.222231884,0.087908213,0.055002151,0.032240409,0.022457444,0.056105894,0.050195445,0.036495072
7,0.084,0.063914493,0.086042029,0,0.000913043,0.035049275,0.235398428,0.093813966,0.109602899,0.127366184,0.182401932,0.046077295,0.025892754,0.013273108,0.020807217,0.026127536,0.013029348,0.064455797,0.052049428,0.039734186,0.167860396,0.140683478,0.124366438,0.152461491,0.143217391,0.102452174,0.056518841,0.055039019,0.019795872,0.021428614,0.007114435,0.022471014,0.038159006,0.033112244,0.043439452,0.185536232,0.245841546,0.128104348,0.322991304,0.090862319,0.19752003,0.037696767,0.043291594,0.12608722,0.193169772,0.006695652,0.144185507,0,0.256944928,0.365961836,0.003466667,0.04803285,0.007122039,0.171807867,0.460218884,0.588448696,0.249652174,0.064446377,0.047415615,0.033111338,0.02506614,0.046500483,0.052662526,0.035450435
8,0.083136232,0.069849275,0.086671014,0,0,0.018944928,0.214534311,0.094292754,0.109957971,0.108115298,0.166401208,0.040384541,0.020284058,0.017259259,0.020049453,0.025704348,0.009668478,0.061242029,0.043877956,0.032401876,0.15678249,0.125463768,0.092769184,0.138118634,0.148245873,0.102342754,0.061805797,0.05206466,0.016471673,0.024363136,0.006288155,0.027750725,0.027393789,0.0364006,0.039705636,0.153678261,0.230676329,0.115698551,0.288021946,0.085198551,0.189474693,0.036076254,0.040543768,0.122463241,0.163297723,0.010910145,0.093252174,0.005478261,0.240144928,0.307881643,0.003489855,0.023198068,0.006687656,0.16797764,0.453061748,0.606098164,0.276075362,0.059205797,0.044561197,0.029187383,0.025154677,0.038502802,0.050473499,0.028417971
9,0.073330435,0.066491304,0.099086957,0,0,0.001217391,0.202879413,0.097894598,0.102760386,0.087500805,0.153088164,0.037157488,0.006797101,0.032394847,0.02955173,0.031360386,0.009255797,0.059222101,0.033863921,0.026187724,0.137837563,0.116397488,0.077690618,0.120510559,0.140910397,0.111260145,0.05293913,0.047323969,0.010888011,0.026000297,0.008140444,0.027630435,0.023806211,0.034487756,0.034005958,0.13652029,0.222236715,0.085536232,0.270747826,0.114915217,0.188921442,0.027392196,0.033432464,0.109992885,0.14345176,0.001826087,0.076863768,0.015118841,0.194927536,0.294992754,0.009358841,0.019816425,0.008028186,0.157489027,0.489437154,0.611557874,0.284669565,0.060173913,0.044817204,0.028818073,0.026934914,0.0295343,0.046585921,0.022745507
10,0.062136232,0.068175362,0.128628986,0,0,0,0.186980199,0.107835046,0.090723188,0.090257005,0.139428986,0.032318841,0,0.056333011,0.047233008,0.033543961,0.009018841,0.045863768,0.028582761,0.018722933,0.125888317,0.116777198,0.088615103,0.111442857,0.122439319,0.111724638,0.04237971,0.044243478,0.010172156,0.031782534,0.011008773,0.028449275,0.024448033,0.036461969,0.028720612,0.112517391,0.254482126,0.073994203,0.312282402,0.145356522,0.177385805,0.019435452,0.026073623,0.086485375,0.165999586,0,0.082028986,0.015501449,0.171594203,0.266105314,0.011509565,0.012003865,0.013856672,0.147720083,0.448942117,0.675108406,0.280773913,0.088565217,0.056137821,0.034209719,0.035445586,0.021325217,0.040718427,0.014765797
