Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
1,0,997.348,937.614,183.969,8810.268,1615.878,19,567.572,1251.725,1901.871,4051.324,411.071,1563.26,6180.223,714.791,939.346,1015.798,8441.852,4592.408,4518.657,4438.696,175.722,2286.126,1967.902,28.001,5554.71,536.109
2,0,992.515,945.948,183.469,8778.802,1657.003,19,560.71,1254.457,1893.552,3956.835,413.895,1545.541,6163.772,747.502,884.643,1344.095,9188.076,4568.411,4471.688,4049.304,174.464,2066.045,1953.375,26.5,5629.255,668.379
3,0,990.325,945.51,183.658,8896.704,1616.9,19,561.49,1260.117,1879.787,3866.311,412.38,1542.33,6159.865,768.102,884.993,2057.044,8818.069,4489.082,4283.75,4049.141,183.666,1865.523,2039.236,26,5524.496,688.258
4,0,991.488,945.948,183.864,9173.383,1497.441,19,560.744,1234.805,1884.466,3799.105,410.236,1539.091,6125.603,710.025,944.547,1959.37,8799.995,4442.589,4066.527,4049.157,191.986,1746.57,2082.984,26,5083.848,562.15
5,0,994.418,946.807,184.053,9397.036,1417.439,19,560.547,1233.972,1854.41,3663.152,408.654,1534.739,5980.925,711.746,937.771,2162.993,8669.493,4451.145,4182.821,3642.641,193.937,1682.633,1836.078,25.466,4830.88,534.632
6,0,1015.938,944.8,183.475,9364.086,1344.394,21.316,585.2,1248.846,1638.158,3676.307,420.737,1522.655,5270.48,716.654,875.702,2252.327,8642.226,4478.729,4306.429,2708.082,192.454,1562.232,1783.279,39.24,4763.896,535.642
7,0.471,1094.647,947.009,184.987,8529.034,1489.016,53.7,687.867,1409.295,1216.928,4411.353,548.969,1610.067,4267.097,813.488,968.826,2201.817,8834.93,4530.579,4117.542,1599.542,187.378,1688.586,1605.944,84.153,5414.314,565.477
8,6.549,1167.688,951.742,193.39,7119.35,1648.426,118.556,797.129,1677.044,1218.897,5039.232,816.814,1918.919,3600.11,983.987,1051.81,2392.259,7817.517,4670.405,3569.62,1429.021,168.599,2045.014,1411.234,135.124,6307.162,629.486
9,21.56,1232.759,968.36,198.149,5552.493,1556.71,193.622,881.293,1949.445,1291.772,5393.12,1077.197,2250.519,3264.574,940.997,1071.323,1973.188,7727.669,4901.149,2808.167,1469.125,161.638,2448.953,1572.6,181.051,6840.688,702.332
10,35.388,1291.863,976.155,225.709,4393.252,1525.274,264.221,943.871,2164.117,1364.219,5918.468,1296.356,2553.947,3428.692,903.466,1103.074,1729.121,7445.162,5113.396,2183.234,1510.619,153.898,2800.657,1700.377,215.732,7356.151,762.883
11,55.396,1336.755,990.646,238.003,3771.896,1534.371,314.99,976.445,2331.617,1439.778,6173.973,1455.018,2801.319,3530.7,881.287,1127.993,1574.808,7751.152,5214.692,1849.35,1587.977,140.911,3077.425,1839.989,241.897,7743.722,812.326
12,77.199,1334.096,996.067,238.103,3675.433,1571.257,334.312,918.798,2438.887,1469.331,6202.343,1523.651,2964.017,3531.661,896.403,1146.209,1595.568,8414.022,5210.256,1876.799,1533.81,134.009,3189.762,1952.959,252.181,7614.314,824.564
13,76.23,1324.198,999.669,244.326,3547.161,1574.611,330.062,864.808,2327.296,1451.312,6187.314,1546.722,2983.937,3535.915,889.14,1145.107,1633.389,8681.973,5121.46,1982.326,1537.708,132.653,3065.325,1876.415,247.67,7251.446,801.33
14,44.154,1283.56,996.466,242.292,3370.368,1600.293,300.808,794.768,2032.403,1395.202,6635.557,1504.723,2764.225,3522.911,891.922,1121.666,1680.228,8871.432,4903.317,2324.356,1562.768,135.924,2783.723,1714.822,227.059,6977.755,781.7
15,50.16,1217.77,1000.871,231.996,3307.501,1795.14,240.739,719.895,1980.663,1379.838,6728.147,1377.956,2510.397,3428.371,881.311,1121.382,1958.116,9077.333,4682.837,3266.678,1546.655,147.052,2732.945,1571.068,194.18,6718.221,731.755
16,60.35,1140.742,1008.575,220.507,3472.331,2079.83,138.146,663.863,1985.491,1338.195,6915.441,1181.014,2356.733,3308.246,833.53,1163.765,1991.276,9501.625,4542.572,4595.51,1589.417,159.511,2689.001,1499.354,143.584,6776.476,670.016
17,43.485,1061.587,991.586,209.151,3384.096,2265.767,73.83,611.617,1830.179,1279.383,6729.826,960.903,2125.175,3639.289,679.885,1111.733,1838.31,9911.954,4503.898,5778.74,2648.831,171.184,2779.734,2127.045,86.814,6678.504,618.758
18,31.174,1004.639,962.819,195.168,3454.058,1710.853,33.429,576.257,1629.9,1253.996,5863.368,733.772,1835.9,5605.367,509.208,1117.964,1958.833,10392.2,4509.693,5673.423,4596.052,178.367,2704.985,2330.663,43.462,6719.307,561.751
19,12.367,1262.2,945.447,195.65,4866.38,1550.505,20.561,577.682,1561.431,1690.949,5016.73,513.4,1858.706,8098.211,443.053,1468.211,2035.75,10391.458,4600.478,5607.615,5291.061,176.867,2495.677,2460.887,30,6565.601,534.862
20,1.559,1271.331,944.274,196.699,6000.914,1599.924,19,592.58,1784.289,1859.08,4867.859,417.774,1842.555,10052.449,543.337,1610.72,2203.216,10616.83,4601.937,5599.387,5559.017,194.653,2398.012,2454.434,30.5,7525.506,575.955
21,0.001,1264.679,943.89,196.353,6501.655,1655.594,20,591.057,1898.85,1871.403,4997.731,412.376,1845.15,10868.952,620.293,1603.204,2314.557,10434.549,4604.797,4946.071,5561.009,210.993,2324.128,2469.016,30.5,7270.014,917.493
22,0,1122.339,943.56,196.102,7044.223,1593.087,20,592.17,1951.721,1867.908,4952.861,412.14,1879.972,11309.799,646.726,1516.755,2121.898,9996.364,4671.121,4690.529,5533.406,221.709,2070.841,2505.308,30,6843.192,1525.038
23,0,986.474,945.74,198.448,7771.61,1684.322,20,590.733,1976.517,1873.265,4612.254,412.198,1889.287,11298.65,636.931,1151.974,2122.794,9657.593,4722.538,4389.752,5519.326,232.695,1725.784,2498.245,30,6555.183,1520.475
24,0,986.745,947.233,202.775,8278.054,1761.142,20,591.921,1687.876,1878.343,4552.721,412.827,1855.193,10963.072,588.749,1008.881,2354.323,8108.687,4717.194,4158.957,5514.83,242.285,1651.461,2341.261,29,6523.168,1051.848
25,0,983.207,948.889,202.448,8804.166,1649.354,19,568.212,1661.386,1877.652,4486.276,418.296,1856.81,9521.397,550.549,1011.43,1950.526,7593.2,4710.708,3843.405,5518.996,241.761,1170.669,1959.548,28,6726.281,1099.421
26,0,983.218,947.623,202.441,9063.899,1475.377,19,568.544,1661.661,1875.008,4545.388,421.105,1845.785,7392.036,568.022,784.027,2027.215,8130.598,4712.718,3855.359,5501.632,232.729,868.318,1857.069,26.5,5932.329,1122.383
27,0,981.704,947.536,202.455,9147.395,1375.056,19,568.84,1554.964,1876.505,4631.987,419.916,1845.156,6012.635,559.68,775.773,2648.645,8287.789,4707.767,3775.536,5496.853,224.693,734.305,1402.218,26,5596.638,1016.218
28,0,977.785,945.336,202.407,9156.402,1115.913,19,568.307,1545.118,1883.293,4549.635,419.237,1869.686,5452.31,511.382,802.789,2908.174,7932.678,4706.301,3848.084,5496.572,215.142,774.441,1389.458,26,5446.636,866.472
29,0,983.508,947.747,202.428,8810.985,1007.008,19,569.103,1543.062,1879.18,4356.722,420.14,1875.608,5377.025,533.809,811.844,2881.449,7745.355,4715.817,3759.346,5497.329,206.623,1229.971,1339.395,25.466,5590.699,772.698
30,0,1007.975,946.48,208.818,8732.615,1021.666,23.375,603.717,1520.437,1886.874,4504.064,431.076,1903.007,4920.525,612.932,855.274,3039.219,7895.441,4764.472,3767.827,5453.137,199.631,1059.902,1318.49,39.245,5592.658,718.24
31,0.2,1090.084,948.091,216.573,8990.658,1370.863,65.486,695.168,1524.426,1775.988,4857.513,547.9,1972.416,4178.297,817.843,1065.542,3287.987,8129.129,4938.768,3911.906,4792.022,191.089,1255.331,1413.432,85.386,6275.594,604.032
32,2.705,1169.894,950,225.807,9156.25,1819.936,142.409,803.592,1693.285,1543.6,5996.194,793.922,2147.665,3766.079,1040.203,1654.425,3808.87,8060.177,5153.55,4088.27,4436.4,165.461,1664.676,1548.244,139.413,7055.719,634.426
33,10.473,1232.617,953.124,244.712,8938.768,2005.717,188.136,894.662,1964.75,1440.929,7542.902,1057.919,2452.217,3894.456,1087.122,1591.13,3899.54,8042.253,5365.949,3954.04,4161.852,163.394,2147.192,1713.883,186.904,7475.51,699.72
34,25.4,1302.763,970.55,266.303,7553.204,2033.122,203.747,955.453,2199.937,1497.541,8323.414,1280.256,2706.968,4121.065,1080.712,1643.674,3498.435,8761.874,5498.614,3554.463,4217.074,184.745,2583.486,1944.179,224.983,7985.764,765.975
35,36.978,1339.136,979.12,285.888,6950.872,2158.66,267.646,979.402,2345.033,1515.067,9198.94,1401.68,3030.65,4201.716,1142.186,1733.078,3309.698,9140.09,5552.153,3584.93,4267.272,193.758,2867.738,2079.506,247.128,8649.042,808.529
36,39.807,1357.858,978.368,286.668,5944.129,2229.23,295.272,1006.837,2424.034,1538.268,9756.389,1384.971,3266.424,4341.128,1152.02,1812.292,3071.829,9604.98,5543.095,3630.414,4291.643,183.371,3098.854,2375.361,256.217,9211.784,819.022
37,58.41,1334.425,979.033,291.388,5003.474,2219.314,325.063,949.655,2395.121,1523.937,10155.115,1202.645,3236.136,4509.362,1107.749,1850.819,2990.925,9724.679,5459.274,3614.595,4581.328,181.895,3156.616,2522.154,247.195,9205.179,791.314
38,75.248,1298.424,986.685,287.56,4520.122,2402.604,306.73,896.822,2341.713,1465.975,10154.269,1086.27,3083.669,5068.014,1023.206,1895.972,2931.576,10668.287,5296.603,4109.122,5138.281,191.212,2946.568,2539.916,225.759,9317.251,749.926
39,80.493,1205.775,973.838,270.73,4448.152,2449.575,240.982,838.334,2197.108,1854.447,10781.454,1064.843,3140.655,6394.515,896.08,1672.476,2990.358,10095.615,5196.188,5191.895,5453.259,214.599,2750.428,2283.571,184.426,9149.95,681.2
40,69.459,1140.55,982.633,263.171,4514.505,2449.357,174.299,776.091,2426.771,1903.315,11167.221,942.313,2917.409,7282.033,783.814,1309.057,2953.194,9845.879,5052.372,5737.46,5445.597,214.759,2538.546,2220.578,135.169,9034.947,650.455
41,54.585,1054.342,978.634,257.409,5048.31,2097.449,102.963,686.262,2499.371,1803.772,10920.228,843.139,2687.78,8732.071,562.231,1230.291,2680.314,9948.641,4869.21,5695.265,5458.497,216.292,2368.065,2162.081,85.866,9310.071,630.09
42,34.101,1247.768,962.646,241.737,4941.797,1924.665,43.371,605.32,2475.945,1752.224,7971.814,665.206,2401.645,11010.109,371.659,1412.902,1950.175,10028.986,4726.005,5796.4,5458.344,211.69,2708.488,2474.329,43.259,9174.382,703.148
43,14.863,1262.266,949.676,233.174,5075.499,1809.709,20.001,569.351,2374.405,1766.971,7025.884,490.818,2168.664,12256.666,501.672,1596.927,1713.969,9375.589,4712.622,6182.738,5419.694,190.204,2936.901,2653.114,30,8644.534,1512.04
44,2.051,1268.345,947.795,233.898,6120.732,1780.816,19,569.898,2383.91,1777.84,7186.629,419.519,2070.15,14059.841,748.621,1852.677,2164.254,9256.721,4713.832,6593.16,5432.488,193.402,2736.646,2754.603,30.5,8708.365,1694.809
45,0,1243.829,948.566,233.782,6758.462,1599.659,20,571.268,2450.342,1803.439,6533.842,417.653,2066.898,14527.825,813.74,1872.255,2489.101,9237.915,4712.986,6592.295,5435.909,205.777,2569.535,2760.906,30.5,8843.343,1695.577
46,0,1109.557,947.314,245.398,7262.545,1618.863,20,574.393,2424.601,1803.689,6404.372,417.649,2066.727,14289.011,817.46,1832.427,2481.968,9298.769,4714.923,6536.307,5438.251,211.31,2515.738,2719.791,30,8652.959,1695.561
47,0,979.841,947.965,249.793,6964.418,1707.595,20,573.409,1986.505,1802.344,6069.743,417.512,2050.942,13732.235,808.765,1518.141,2466.741,9433.898,4716.501,6571.964,5432.306,221.163,2400.627,2735.772,30,8388.137,1695.312
48,0,977.605,946.895,249.633,6827.767,1705.364,20,576.503,1858.276,1798.29,5766.845,415.148,2034.792,13623.223,794.948,1256.498,2582.376,8771.717,4711.571,6264.495,5406.279,229.183,2010.328,2567.716,29,7462.405,1527.912
49,0,1064.76,947.979,268.051,7430.327,1468.731,19.001,586.614,1521.167,1799.163,5338.63,328.975,1968.818,13443.546,736.837,1182.932,2715.253,8459.845,4713.511,5777.359,5344.396,173.535,1760.854,2264.049,28.001,5907.173,1104.98
50,0,1060.744,942.224,267.948,7857.499,1258.719,19,584.612,1488.7,1809.576,4541.886,328.819,1989.35,12250.869,645.571,1176.848,3077.72,7956.948,4715.228,5718.926,5306.069,169.819,1528.697,1961.592,26.5,5377.491,1100.887
51,0,1060.911,943.909,268.072,7888.859,1210.991,19,585.017,1487.983,1800.831,4348.996,331.677,2008.052,10330.5,605.995,1175.498,3329.287,7639.498,4731.039,5885.589,5296.74,169.322,1353.393,1916.952,26,5240.839,1099.359
52,0,1070.261,947.491,269.598,7740.728,1096.366,19,586.724,1493.988,1778.371,4235.373,330.209,2004.437,9408.112,662.161,1188.225,3377.281,7564.66,4747.105,5884.742,5298.315,169.386,1367.5,1794.586,26,5270.701,1016.226
53,0,1027.463,945.511,269.846,7613.33,1091.004,19,579.962,1469.638,1747.585,4148.977,331.289,2000.372,9358.586,640.923,1078.812,3391.227,7493.293,4742.109,5740.906,5293.845,169.437,1476.489,1761.828,25.466,5264.316,1014.81
54,0,1020.067,947.071,275.07,7243.413,1136.658,24.416,633.524,1482.878,1582.343,4329.546,340.203,1995.07,8392.23,674.92,943.912,3527.934,7749.862,4780.58,5683.033,5267.299,166.339,1668.086,1902.533,39.238,5261.634,1016.762
55,0.466,1099.599,946.114,276.678,7058.255,1424.412,69.471,761.456,1570.279,1188.202,5711.6,437.157,2061.631,6449.1,903.12,1293.456,3510.289,8069.193,4871.3,5441.761,5267.808,158.172,1941.917,1967.177,87.457,5625.514,1008.619
56,5.788,1184.031,953.821,239.563,7003.105,1937.825,142.86,901.181,1750.029,1277.812,7739.71,652.908,2325.567,4385.287,1173.985,1789.879,3978.58,8415.597,4979.016,5617.143,4667.541,139.843,2400,2111.445,144.915,6281.558,755.572
57,20.107,1261.189,961.024,247.19,7023.359,2048.845,217.577,994.739,1933.458,1391.537,8653.042,854.172,2659.642,3961.858,1311.484,2036.936,4014.823,8812.79,5110.533,5518.148,4347.667,134.812,3004.089,2363.713,195.36,6971.247,796.494
58,31.741,1309.566,964.562,254.682,6407.06,2208.374,281.291,1102.294,2150.302,1464.073,9656.986,1011.425,2919.98,4065.326,1240.291,1996.907,3789.559,8914.978,5249.591,4991.211,3927.819,144.072,3399.593,2484.509,234.245,7904.897,792.876
59,48.224,1352.15,975.549,260.991,6009.834,2317.214,313.957,1154.202,2340.8,1479.333,10370.762,1144.109,3131.002,4211.958,1141.97,2018.988,3350.224,9165.328,5344.767,4457.767,3814.297,149.946,3717.886,2778.039,264.463,8548.112,803.634
60,78.928,1364.258,985.844,275.358,5548.871,2396.164,341.974,1163.443,2443.761,1407.16,11104.692,1129.77,3234.321,4614.037,1102.505,2000.554,2913.962,9050.487,5359.761,4138.944,3945.92,164.306,4037.59,2847.649,280.542,8837.763,824.928
61,95.005,1348.31,997.717,280.394,4747.481,2468.977,345.59,1072.591,2394.379,1312.094,11435.387,1022.577,3269.143,4948.709,993.708,1996.918,2654.916,8604.758,5247.965,4287.311,4585.289,173.744,4296.213,2901.082,274.919,8745.49,829.113
62,94.415,1297.179,993.509,283.815,4391.541,2702.137,308.733,972.367,2228.956,1325.168,11311.764,980.732,3220.196,6283.893,904.469,1892.529,2533.823,8594.907,5130.57,4927.875,5277.875,169.321,4196.253,2740.556,247.705,9003.793,1034.413
63,82.201,1231.682,986.982,283.228,3928.538,2719.166,251.08,859.466,2023.89,1306.095,10748.046,938.822,3036.918,7404.993,740.417,1772.7,2393.22,10941.74,5027.286,5462.489,5337.142,176.551,4008.035,2893.253,202.13,8980.862,1036.477
64,75.677,1151.697,988.525,272.43,3553.041,2656.246,161.337,759.317,2025.556,1215.646,10605.859,821.332,2735.5,8556.739,597.418,1531.994,2226.053,11991.315,4820.982,5562.073,5383.864,172.655,3636.401,2791.914,149.569,8942.307,1095.075
65,53.523,1141.121,974.13,258.357,3819.924,2187.929,89.029,677.155,1918.82,1096.516,9171.806,716.09,2423.782,9961.47,435.19,1314.004,1653.446,12251.085,4655.508,5790.379,5546.319,190.334,3693.455,3260.941,91.77,9391.036,1153.329
66,30.928,1084.205,949.39,244.71,4163.906,1670.568,42.219,609.439,1976.623,1051.296,7670.008,578.984,2249.136,10902.888,357.093,1460.696,1598.774,11967.526,4485.762,5960.05,5556.135,177.664,3495.872,3259.919,44.551,9704.238,1305.412
67,15.863,1069.786,938.22,242.587,4909.955,1523.076,20.561,580.894,1979.611,1521.383,6895.078,405.837,2057.892,11814.871,401.296,1395.254,1538.8,11601.267,4475.605,6544.728,5489.903,164.45,3033.746,3016.384,30.294,9434.537,1368.032
68,2.048,1067.497,933.697,242.667,6148.833,1434.522,19,579.244,2118.338,1670.476,7290.59,334.665,1978.579,13402.104,623.196,1456.849,2095.369,11248.229,4603.595,6548.581,5458.48,164.708,2650.757,2833.392,30.5,9289.162,1518.498
69,0,1074.304,946.717,242.991,6220.856,1382.783,20,579.519,2217.846,1715.222,7417.166,336.658,1987.138,13875.566,637.612,1460.442,2500.872,11166.051,4650.874,6335.482,5456.216,171.94,2438.919,2643.455,30.5,9821.053,1560.229
