Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_AC_Nuclear_Modular,BR_AC,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_AC,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AC_Nuclear_Large,BR_AC,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,204000,0,36,1000,0.25,elec_BR_AC,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AL_Nuclear_Modular,BR_AL,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_AL,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AL_Nuclear_Large,BR_AL,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,204000,0,36,1000,0.25,elec_BR_AL,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AP_Nuclear_Modular,BR_AP,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_AP,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AP_Nuclear_Large,BR_AP,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,204000,0,36,1000,0.25,elec_BR_AP,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AM_Nuclear_Modular,BR_AM,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_AM,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_AM_Nuclear_Large,BR_AM,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,204000,0,36,1000,0.25,elec_BR_AM,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_BA_Nuclear_Modular,BR_BA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_BA,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_BA_Nuclear_Large,BR_BA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,204000,0,36,1000,0.25,elec_BR_BA,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_CE_Nuclear_Modular,BR_CE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_CE,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_CE_Nuclear_Large,BR_CE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,204000,0,36,1000,0.25,elec_BR_CE,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_DF_Nuclear_Modular,BR_DF,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,216000,0,36,300,0.25,elec_BR_DF,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
