Time_Index,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
1,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
2,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
3,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
4,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
5,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
6,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
7,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
8,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
9,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
10,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
11,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
12,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
