Type,id,location,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--elec_edge--uc,edges--elec_edge--integer_decisions,edges--elec_edge--lifetime,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--end_vertex,edges--elec_edge--wacc,edges--elec_edge--investment_cost,edges--elec_edge--existing_capacity,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate
ThermalPower,SEL_natgas_CCGT,SEL,True,Electricity,True,True,False,30,True,False,True,elec_SEL,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,PUS_natgas_CCGT,PUS,True,Electricity,True,True,False,30,True,True,True,elec_PUS,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,TAE_natgas_CCGT,TAE,True,Electricity,True,True,False,30,True,True,True,elec_TAE,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,INC_natgas_CCGT,INC,True,Electricity,True,True,False,30,True,True,True,elec_INC,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,KWJ_natgas_CCGT,KWJ,True,Electricity,True,True,False,30,True,True,True,elec_KWJ,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,DJJ_natgas_CCGT,DJJ,True,Electricity,True,True,False,30,True,True,True,elec_DJJ,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,USN_natgas_CCGT,USN,True,Electricity,True,True,False,30,True,True,True,elec_USN,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,SJG_natgas_CCGT,SJG,True,Electricity,True,True,False,30,True,True,True,elec_SJG,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,GGI_natgas_CCGT,GGI,True,Electricity,True,True,False,30,True,True,True,elec_GGI,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
ThermalPower,GWN_natgas_CCGT,GWN,True,Electricity,True,True,False,30,True,True,True,elec_GWN,0.1,1171911,0,15274,1.82,125.825,69.34,0.58614214,6,6,0.64,0.64,0.5,NaturalGas,True,False,natgas_source,CO2,True,False,co2_sink_KR,NaturalGas,True,2.0696,0.18104
